ID,title,author,numAuthors,binding,publisher,isbn,pubYear,pubMonth,pubDay,pages,volume,lang,editionDescr
4653,Introduction to Multinational Management,"Shetty, Y. Krishna Prasad, S. Benjamin",2,Trade Cloth,Prentice Hall PTR,9780134892030,1976,4,,256,,ENG,
4654,Introduction to Music Research,"Watanabe, Ruth T.",1,Paperback,Prentice Hall PTR,9780134896410,1996,2,11,236,,ENG,
4655,Object-Oriented Software Engineering : Conquering Complex and Changing Systems,"Bruegge, Bernd Dutoit, Allen A.",2,Trade Cloth,Prentice Hall PTR,9780134897257,1999,0,28,553,,ENG,
4656,Introduction to Number Theory,"Adams, W. Goldstein, Larry J.",2,Trade Cloth,Prentice Hall PTR,9780134912820,1976,1,,,,ENG,
4657,Transformer and Circuit Analysis,Stanley,1,Paperback,Prentice Hall PTR,9780134940489,1996,2,,142,,ENG,Teacher's Edition of Textbook
4658,Systems Management Backup,X-Open Staff,1,Trade Cloth,Prentice Hall PTR,9780134963990,1997,4,,136,,ENG,
4659,Introduction to Social Work,"Thackeray, Milton G. Skidmore, Rex A.",2,Trade Cloth,Prentice Hall PTR,9780134970240,1976,2,,464,,ENG,
4660,Teaching Secondary Mathematics : Techniques and Enrichment Units,"Stepelman, Jay Smith, Beverly S. Posamentier, Alfred S.",3,Paperback,"Allyn & Bacon, Incorporated",9780135000038,2009,1,29,528,,ENG,
4661,Accounting Ch 12-25 and MAL Access Code Package,"Horngren, Charles T. Harrison, Walter T.",2,Paperback,Prentice Hall Higher Education,9780135009888,2007,7,30,,,ENG,
4662,Introduction to Optics,"Pedrotti, Frank J. Pedrotti, Leno S.",2,Trade Cloth,Prentice Hall PTR,9780135015452,1992,1,16,672,,ENG,
4663,Introductory Applied Statistics in Science,"Choi, Sung C.",1,Trade Cloth,Prentice-Hall,9780135016190,1978,,,"x, 278",,ENG,
4664,Construction Accounting and Financial Management,"Peterson, Steven J.",1,CD/Spoken Word,Prentice Hall PTR,9780135017111,2008,7,10,600,,ENG,
4665,Economics and MyEconLab and EBook 2-Sem Student Access Package,"O'Brien, Anthony P. Hubbard, Glenn",2,Trade Cloth,Prentice Hall Higher Education,9780135020234,2007,1,06,,,ENG,
4666,Servsafe Starters,National Restaurant Association Staff,1,Paperback,Prentice Hall PTR,9780135026311,2008,4,22,,,ENG,
4667,Investing Short-Term Cash,"Veale, Stuart R.",1,Trade Cloth,Prentice Hall PTR,9780135034002,1989,1,,256,,ENG,
4668,Quantitive Analysis for Management and Student CD Package,"Render, Barry Stair, Ralph M. Hanna, Michael E.",3,CD/Spoken Word,Prentice Hall Higher Education,9780135035085,2008,2,,,,ENG,
4669,Issues in Management Accounting,"Hopper Scapens, R. W. Ashton",3,Trade Cloth,Prentice Hall PTR,9780135058350,1991,1,,"xiv, 321",,ENG,
4670,Is There an Answer to Death?,"Koestenbaum, Peter",1,Paperback,Prentice-Hall,9780135061053,1976,,,"xii, 212",,ENG,
4671,Top 10 Rules of Ethics for Paralegals,"Orlik, Deborah K.",1,Paperback,Prentice Hall PTR,9780135063934,2010,2,16,192,,ENG,New Edition
4672,"NATEF Correlated Task Sheets for Diagnosis and Troubleshooting of Automotive Electrical, Electronic, and Computer Systems","Halderman, James D.",1,Paperback,Prentice Hall PTR,9780135068991,2009,2,13,624,,ENG,
4673,ITCA Guide to Coaching Winning Tennis,"Benjamin, David",1,Paperback,Prentice Hall PTR,9780135070543,1989,0,,178,,ENG,
4674,ManageFirst : Menu Marketing and Management with Pencil/Paper Exam and Test Prep,National Restaurant Association Staff,1,Mixed Media,Prentice Hall PTR,9780135072103,2008,0,29,,,ENG,
4675,Jazz : America's Classical Music,"Sales, Grover",1,Trade Cloth,Prentice Hall PTR,9780135091265,1984,0,,240,,ENG,
4676,Learning Microsoft Office 2010,"Emergent Learning LLC Staff Weixel, Suzanne Wempen, Faithe Skintik, Catherine",4,Spiral,Prentice Hall PTR,9780135108383,2010,0,04,960,,ENG,
4677,Joseph Henry : Father of American Electronics,"Jahns, P.",1,Library Binding,Prentice-Hall,9780135111475,1969,,,,,ENG,
4678,Journey into Sexuality : An Exploratory Voyage,"Reiss, Ira L.",1,Trade Cloth,Prentice Hall PTR,9780135114780,1986,3,,282,,ENG,
4679,Principles of Criminal Law,"Wallace, Harvey Roberson, Cliff",2,Paperback,Prentice Hall PTR,9780135121580,2011,1,05,336,,ENG,Revised
4680,Just-Time Quality : A Practical Approach,"Hernandez, Arnaldo",1,Trade Cloth,Prentice Hall PTR,9780135122037,1993,6,,225,,ENG,
4681,"OneKey Web CT, Student Access Card, Medical Terminology","Frucht, Sue Fremgen, Bonnie",2,"""Print, Other""",Prentice Hall PTR,9780135141489,2008,4,23,,,ENG,
4682,Mental Health Nursing,"Fontaine, Karen Lee",1,Paperback,Prentice Hall PTR,9780135146552,2008,7,14,760,,ENG,
4683,Kindle My Heart : Wisdom and Inspiration from a Living Master,"Chidvilasananda, Gurumayi",1,Paperback,Prentice Hall PTR,9780135153475,1990,6,,,1,ENG,
4684,Fundamentals of Image Data Compression Theory and Applications,"Vairavan, Kannan Subramanian, Regu",2,Trade Cloth,Prentice Hall PTR,9780135211137,2001,2,,0,,ENG,
4685,Lado English Series,"Lado, Robert",1,Paperback,Pearson Education,9780135223437,1990,7,23,200,6,ENG,Student Edition of Textbook
4686,Lado English Series,"Lado, Lucia Lado, Robert",2,Paperback,Longman Publishing Group,9780135224830,1990,6,,128,5,ENG,Workbook
4687,Language of Advertising and Merchandising in English,Rein,1,Perfect,Longman Publishing Group,9780135232910,1987,4,,128,,ENG,
4688,Law Enforcement : A Human Relations Approach,"Coffey, Alan R.",1,Trade Cloth,Prentice Hall PTR,9780135261613,1990,1,,448,,ENG,
4689,Law and Society,"Vago, Steven",1,Trade Cloth,Prentice Hall PTR,9780135264355,1990,0,,336,,ENG,
4690,Legal Aspects of Business Administration,"Votaw, Dow",1,Trade Cloth,Prentice-Hall,9780135275313,1969,,,"xiii, 962",,ENG,
4691,Learning American Sign Language,"Humphries, Tom L. Padden, Carol A.",2,Paperback,"Allyn & Bacon, Incorporated",9780135285718,1992,1,15,350,,ENG,
4692,Peter Norton's Advanced DOS 5.0,"Norton, Peter",1,Paperback,Sams,9780135296455,1992,4,,"xxvii, 433",,ENG,
4693,Content Area Literacy : Strategic Teaching for Strategic Learning,"Manzo, Anthony V. Manzo, Ula C.",2,Paperback,"Wiley & Sons, Incorporated, John",9780135321027,1996,1,,304,,ENG,
4694,Case Studies on Information and Computers,"Sinello, Richard A.",1,Paperback,Prentice Hall PTR,9780135338452,1996,6,26,285,,ENG,
4695,"Living with Yourself, Living with Others : A Woman's Guide","Serlin, Florence R. McGlynn, Angela P.",2,Trade Cloth,Prentice-Hall,9780135388433,1979,7,,"xiii, 242",,ENG,
4696,"Logic Programming : Functions, Relations, and Equations","Lindstrom, Gary DeGroot, Deng",2,Trade Cloth,Prentice Hall PTR,9780135399583,1986,3,,544,,ENG,
4697,Loneliness and Love,"Moustakas, Clark E.",1,Paperback,Prentice Hall PTR,9780135403860,1990,5,,,,ENG,
4698,Estados Unidos Hispanics,"Marshall, Karen Wiegman, Neal A.",2,Paperback,Prentice Hall PTR,9780135405512,1989,1,,"vi, 314",,SPA,
4699,Machine Vision,"Van Nostrand, Zeuch",1,Trade Cloth,Prentice Hall PTR,9780135420362,1986,1,,209,,ENG,
4700,Modern American English,"Dixson, Robert James",1,Paperback,"Prentice Hall, E S L Department",9780135430675,1987,5,,,,ENG,Student Edition of Textbook
4701,Basketball Coach's Survival Guide,"Chapman, L. Warren, William E.",2,Paperback,Prentice Hall PTR,9780135433812,1996,3,,336,,ENG,
4702,Magazine Editing : How to Acquire the Skills You Need to Win A Job and Succeed in the Magazine Business,"Hubbard, J. T. W.",1,Paperback,Prentice-Hall,9780135437285,1982,0,,195,,ENG,
4703,Magic of Puppetry,"Jenkins, Peggy D.",1,Paperback,Prentice-Hall,9780135451458,1980,1,,,,ENG,
4704,Magic Power of Self-Image Psychology : The New Way to a Bright Full Life,"Maltz, Maxwell",1,Paperback,Prentice Hall PTR,9780135453193,1967,2,,,,ENG,
4705,Make Your Point : A Guide to Improving Your Business and Technical Writing,"Lucier, R. J. Markel, Michael H.",2,Paperback,Prentice-Hall,9780135477526,1983,5,,136,,ENG,
4706,Management for Supervisors,"Zimmerer, Thomas W. Preston, Paul",2,Paperback,Prentice Hall PTR,9780135497173,1982,2,,336,,ENG,
4707,Management Information Systems,"Long, Larry",1,Trade Cloth,Prentice Hall PTR,9780135515990,1989,1,,576,,ENG,
4708,Essence of Management Accounting,"Chadwick, Leslie",1,Paperback,Prentice Hall PTR,9780135523407,1996,1,14,184,,ENG,
4709,Manual of Logic Circuits,"Maley, Gerald Adrian",1,Trade Cloth,Prentice-Hall,9780135535035,1970,,,"xiii, 301",,ENG,
4710,Making of Economic Society,"Heilbroner, Robert L.",1,Paperback,Prentice Hall PTR,9780135551868,1992,8,,272,,ENG,
4711,Lovejoy's College Guide,"Straughn, Charles T. Lovejoy-Straughn, Barbarasue",2,Paperback,Alpha Books,9780135554678,1993,8,,,,ENG,
4712,Marketing Professional Services,"Wheatley, Edward W.",1,Trade Cloth,Prentice Hall PTR,9780135574621,1982,1,,224,,ENG,
4713,Marketing Tactics Master Guide for Small Business,"McCready, Gerald B.",1,Trade Cloth,Prentice Hall PTR,9780135581483,1982,1,,139,,ENG,
4714,Materials in Industry,"Patton, William J.",1,Trade Cloth,Prentice Hall PTR,9780135607220,1976,,,,,ENG,
4715,Mathematical Curiosities II,"Wild, Anne Jenkins, Gerald",2,Paperback,Prentice-Hall,9780135612170,1982,1,,28,,ENG,
4716,Measure of Greatness,"Keese, Parton",1,Trade Cloth,Prentice-Hall,9780135678008,1981,2,,162,,ENG,
4717,Measurements for Technicians,"Lenk, John D. Marcus, Abraham",2,Trade Cloth,Prentice-Hall,9780135685358,1971,,,"xiv, 370",,ENG,
4718,Criminal Investigation,"Weston, Paul B. Wells, Paul B.",2,Trade Cloth,Prentice Hall PTR,9780135690130,1996,7,,432,,ENG,
4719,Meet the U. S. : People and Places in the United States,"Westerfield, Kay J. Kagan, Leslie J.",2,Perfect,Longman Publishing Group,9780135738085,1983,0,,192,,ENG,
4720,Chemistry and Life,"Hill, Dave",1,Trade Cloth,"Allyn & Bacon, Incorporated",9780135740965,1997,6,,,,ENG,Teacher's Edition of Textbook
4721,Melville : A Collection of Critical Essays,,0,Trade Cloth,"Wiley & Sons, Incorporated, John",9780135742938,1962,8,,,,ENG,
4722,Ohio-Michigan Tax Handbook,"Mead, Mary A. George, Peter",2,Trade Cloth,Prentice Hall PTR,9780135797723,1988,2,,500,,ENG,
4723,Miracle Power of Transcendental Meditation,Norvell,1,Trade Cloth,Prentice Hall PTR,9780135857113,1972,,,200,,ENG,
4724,Mobil Travel Guide Lodgings for Less : South,,0,Paperback,Prentice Hall Books,9780135865200,1988,3,,,,ENG,
4725,"Northeast, 1990",Mobil Oil Corporation Staff,1,Paperback,Prentice Hall PTR,9780135871485,1990,2,,460,,ENG,
4726,Microcomputers : Concepts and Software,"Long, Larry Long, Nancy",2,Paperback,Prentice Hall PTR,9780135878583,1992,,,1115,,ENG,
4727,Motif Programming Tips and Tricks,"Clayton, Don",1,Paperback,Prentice Hall PTR,9780135882122,2001,2,15,400,,ENG,
4728,Fundamentals of Mathematics,Setek,1,Trade Cloth,Prentice Hall PTR,9780135917510,1998,7,,,,ENG,Supplement
4729,Modern American English,"Dixson, Robert James",1,Paperback,Longman Publishing Group,9780135939970,1991,1,07,153,3,ENG,
4730,Modern Welding Technology,"Cary, Howard B.",1,Trade Cloth,Prentice Hall PTR,9780135943007,1993,7,,767,,ENG,
4731,Advanced Accounting,"Brozovsky, John A. Beams, Floyd A. Shoulders, Craig D.",3,Trade Cloth,Prentice Hall PTR,9780135978733,1999,5,15,912,,ENG,
4732,Art of Visual Collaboration and Video Conferencing Desktop to Desktop,"Perey, Christine",1,Trade Cloth,Prentice Hall PTR,9780135984000,2001,5,,,,ENG,
4733,Molecular Biology : An Introduction to Chemical Genetics,"Barry, Elaine Mary Barry, John Michael",2,Trade Cloth,Prentice-Hall,9780135995143,1973,,,"xiii, 142",,ENG,
4734,Mooncake,"Asch, Frank",1,Trade Cloth,Prentice Hall PTR,9780136010135,1983,4,,28,,ENG,
4735,"Invitation to Psychology, Mypsychlab Edition","Tavris, Carol Wade, Carole",2,Paperback,Prentice Hall PTR,9780136016090,2008,2,26,648,,ENG,
4736,Millennium Reader,"Hirschberg, Terry Hirschberg, Stuart",2,Perfect,Prentice Hall PTR,9780136017387,2008,1,18,848,,ENG,
4737,Your Role in the Green Environment TG Update,,0,,Prentice Hall PTR,,2009,7,17,,,ENG,
4738,"MyPoliSciLab Stand-Alone Access, Politics in America Texas","Dye, Thomas R.",1,"""Print, Other""",Longman Publishing Group,9780136027010,2008,2,09,,,ENG,
4739,Out of Many : A History of American People,"Faragher, John M.",1,Paperback,Prentice Hall PTR,9780136028369,2008,5,08,238,,ENG,Study Guide
4740,Political Science Student Writer's Manual,"Garrison, Stephen M. Scott, Gregory M.",2,Perfect,Prentice Hall Higher Education,9780136029458,2007,2,18,312,,ENG,
4741,Mugging : You Can Protect Yourself,"Griffith, Liddon R.",1,Trade Cloth,Prentice-Hall,9780136048763,1978,5,,"xi, 212",,ENG,
4742,Music Teacher's Almanac : Read-to-Use Music Activities for Every Month of the Year,"Mitchell, Loretta",1,Paperback,Benjamin-Cummings Publishing Company,9780136056010,1992,4,,256,,ENG,
4743,Understanding Music,"Carruthers, C. Ann",1,Paperback,Prentice Hall PTR,9780136062608,1996,3,,192,,ENG,Student Edition of Textbook
4744,Business Mathematics Value Package (includes MyMathLab/MyStatLab Student Access ),"Miller, Charles D. Salzman, Stanley A. Miller Clendenen, Gary",4,Paperback,Addison Wesley,9780136073055,2008,7,28,,,ENG,
4745,Entrepreneurship : Successfully Launching New Ventures,"Barringer, Bruce R. Ireland, Duane",2,Trade Cloth,Prentice Hall PTR,9780136083535,2009,7,22,608,,ENG,
4746,"Economics of Women, Men, and Work","Blau, Francine D. Ferber, Marianne A. Winkler, Anne E.",3,Paperback,Prentice Hall PTR,9780136084259,2009,7,24,456,,ENG,
4747,Preparing for Algebra,"Haehl, Martha",1,Paperback,Prentice Hall PTR,9780136088783,1997,1,13,430,,ENG,
4748,"Survey of Economics : Principles, Applications, and Tools","Sheffrin, Steven O'Sullivan, Arthur Perez, Stephen",3,Paperback,Prentice Hall PTR,9780136093800,2009,5,12,456,,ENG,
4749,"Study Guide for Survey of Economics : Principles, Applications, and Tools","Sheffrin, Steven Perez, Steve O'Sullivan, Arthur",3,Paperback,Prentice Hall PTR,9780136093831,2009,9,18,260,,ENG,
4750,"Construction Technology Trainee Guide, Hard Cover",NCCER,1,Trade Cloth,Prentice Hall PTR,9780136099512,2009,6,22,936,,ENG,
4751,Introduction to Financial Management,"Brooks, Raymond Brooks",2,Ringbound,Pearson Higher Education & Professional Group,9780136106296,2009,9,02,688,,ENG,
4752,International Business : The Challenges of Globalization,"Wild, John J. Wild, Kenneth L.",2,Paperback,Prentice Hall PTR,9780136107026,2009,7,07,,,ENG,
4753,Comprehensive Classroom Management : Creating Communities of Support and Solving Problems (with MyEducationLab),"Jones, Vern Jones Jones, Louise",3,Paperback,"Allyn & Bacon, Incorporated",9780136119111,2009,1,29,,,ENG,
4754,Northstar,"Barton, Laurie Merdinger, Polly",2,Paperback,Pearson Education,9780136133360,2008,8,,,,ENG,
4755,Selling Today : Building Quality Partnerships,"Manning, Gerald L. Reece, Barry L.",2,Trade Cloth,Prentice Hall PTR,9780136138372,1997,8,06,560,,ENG,
4756,Microsoft Office 2007 inBusiness: Core,"Manzo, Joseph M. Piziak, Dee R.",2,Spiral,Prentice Hall PTR,9780136139867,2008,1,,999,,ENG,
4757,Student Study Pack,"Riedel, Susan Nilsson, James",2,Paperback,Prentice Hall PTR,9780136140375,2008,1,28,300,,ENG,
4758,Postmodern Perspectives : Issues in Contemporary Art,"Risatti, Howard",1,Paperback,Prentice Hall PTR,9780136145042,1997,1,03,318,,ENG,
4759,Studying Rhythm,"Hall, Anne C.",1,Paperback,Prentice Hall PTR,9780136145202,1997,8,20,139,,ENG,
4760,Politics of Public Policy,"Barberio, Richard P.",1,Trade Cloth,Prentice Hall PTR,9780136157755,2013,7,01,368,,ENG,
4761,Near Source Contaminant Mixing in Surface Waters,"Wright, Steven J.",1,Trade Cloth,Prentice Hall PTR,9780136175568,1998,1,,,,ENG,
4762,Social Problems,"Kornblum, William",1,Paperback,Prentice Hall PTR,9780136198260,1997,1,,,,ENG,Student Edition of Textbook
4763,Nutrition Education for Young Children : Strategies and Activities,"Whitener, Carole B. Keeling, Marie H.",2,Trade Cloth,Prentice Hall PTR,9780136274315,1984,9,,208,,ENG,
4764,Strategic Management,"Knoll Wright, Tony",2,Paperback,Prentice Hall PTR,9780136288015,1997,2,,688,,ENG,
4765,Occupational Safety Management and Engineering,"Hammer, Willie",1,Trade Cloth,Prentice-Hall,9780136294108,1981,,,"xvi, 494",,ENG,
4766,Telecommunications,"Hioki, Warren",1,Trade Cloth,Prentice Hall PTR,9780136320432,1997,9,18,650,,ENG,
4767,Thinking about Biology : An Introductory Biology Laboratory Manual,"Bres, Mimi Weisshaar, Arnold",2,Paperback,Prentice Hall PTR,9780136330332,1997,2,30,376,,ENG,
4768,On ESP,"Curtis, Robert",1,Paperback,Prentice-Hall,9780136342878,1975,,,,,ENG,
4769,"One Man's Way : The Story and Message of Norman Vincent Peale, a Biography","Gordon, Arthur",1,Trade Cloth,Prentice-Hall,9780136360841,1972,,,324,,ENG,
4770,One Way : The Jesus Movement and Its Meaning,"Ellwood, Robert S.",1,Paperback,Prentice-Hall,9780136360926,1973,,,"x, 150",,ENG,
4771,Prepare for the Texas Real Estate Exam,"Peeples, Donna K. Rosenauer, Johnnie L. Peeples, Minor",3,Paperback,Prentice Hall PTR,9780136364160,1997,0,03,232,,ENG,
4772,Tex Mandatory Continue Education,Cognito,1,Paperback,Prentice Hall PTR,9780136364245,1998,8,20,31,,ENG,
4773,Origins of the Mind : Mind-Brain Connections,"Furst, Charles",1,Trade Cloth,Prentice-Hall,9780136427773,1979,,,"x, 262",,ENG,
4774,Orr on Ice,"Grace, Richard Orr, Bobby",2,Trade Cloth,Prentice-Hall,9780136428275,1970,,,176,,ENG,
4775,Social Problems,Peterson's Magazine Staff,1,Paperback,Prentice Hall PTR,9780136431725,1999,4,,,,ENG,Student Edition of Textbook
4776,Organic Chemistry,,0,Trade Cloth,Prentice Hall PTR,9780136436935,1992,1,,,,ENG,
4777,Student Social Psychology,Feldman,1,Paperback,Prentice Hall PTR,9780136457978,1997,0,,,,ENG,Student Edition of Textbook
4778,Palm-Aire Spa : Seven-Day Plan to Change Your Life,,0,"""Video, VHS Format""",Prentice Hall Books,9780136484035,,,,,,ENG,
4779,Parents' Guide to Feeding Your Kids Right,Children's Television Workshop Staff,1,Trade Cloth,Prentice Hall PTR,9780136499220,1989,6,,,,ENG,
4780,Parents' Guide to Understanding Discipline : Infancy Through Preteen,Children's Television Workshop Staff,1,Paperback,Prentice Hall PTR,9780136499978,1990,2,,256,,ENG,
4781,Paris Access,,0,Paperback,Prentice Hall PTR,9780136504412,1990,5,,,,ENG,
4782,Participation,"Nagel, Jack H.",1,Paperback,Prentice Hall PTR,9780136513162,1987,1,,192,,ENG,
4783,Pepita Jimenez,"Romo, Alberto",1,Paperback,"Prentice Hall, E S L Department",9780136566205,1987,6,,,,ENG,
4784,Essays in Social Biology,"Wallace, Bruce",1,Trade Cloth,Prentice-Hall,9780136568353,1972,,,"xviii, 265",,ENG,
4785,SPSS Base 7.5 : Applications Guide,SPSS Inc. Staff,1,Paperback,Prentice Hall PTR,9780136569923,1996,2,09,339,,ENG,
4786,Exploring Microsoft Visual Basic 6. 0 : Includes Coverage of 5. 0,"Eaton, Carlotta",1,Spiral,Prentice Hall PTR,9780136575948,1998,1,17,464,,ENG,
4787,"Federal Taxation 1998, Individual",,0,Trade Cloth,Prentice Hall PTR,9780136593270,1997,1,,1024,,ENG,Teacher's Edition of Textbook
4788,Thinking in Java,"Eckel, Bruce",1,Paperback,Prentice Hall PTR,9780136597230,1998,2,19,1152,,ENG,
4789,Pharmaceutical Product Licensing : Requirements for Europe,"Matthews, Brian Cartwright, A. C.",2,Trade Cloth,C R C Press LLC,9780136628835,1991,5,31,324,,ENG,
4790,Phone Power,"Gross, LeRoy",1,Trade Cloth,New York Institute of Finance,9780136643500,1987,9,,208,,ENG,
4791,Physical and Motor Tests in the Medford Boy's [i.e. Boys'] Growth Study,"Clarke, H. Harrison",1,Trade Cloth,Prentice-Hall,9780136655961,1971,,,"xiii, 300",,ENG,
4792,Physics for Scientists and Engineers with Modern,"Giancoli, Douglas C.",1,Trade Cloth,Prentice Hall PTR,9780136663225,1988,8,,1088,,ENG,
4793,Environmental Philosophy : From Animal Rights to Radical Ecology,"Zimmerman, Michael E.",1,Paperback,Prentice Hall PTR,9780136669593,1992,2,,416,,ENG,
4794,Physics for Scientists with Modern Physics Vol. II : Combined Edition,"Giancoli, Douglas C.",1,Trade Cloth,Prentice Hall PTR,9780136722625,1988,1,,520,,ENG,
4795,Pitcher in Left Field,"Waldman, J. Waldman, N.",2,Trade Cloth,Prentice-Hall,9780136764113,1979,,,,,ENG,
4796,Rock and Roll : Its History and Stylistic Development,"Lipscomb, Scott D. Stuessy, Joe",2,Paperback,Prentice Hall PTR,9780136764953,1998,6,17,486,,ENG,
4797,Plane Trigonometry,"Varberg, Dale E. Fleming, Walter",2,Paperback,Prentice Hall PTR,9780136790693,1989,4,,320,,ENG,Student Edition of Textbook
4798,Plant Manager's Manual and Guide,"Becker, Charles H.",1,Trade Cloth,Prentice Hall PTR,9780136807032,1987,2,,496,,ENG,
4799,Police Administration : An Introduction,"DeLuca, Stuart M. Stone, Alfred R.",2,Paperback,Prentice Hall PTR,9780136816027,1994,3,31,498,,ENG,
4800,"Portfolio of Public Accountant's Forms, Reports, and Procedures","Horn, Jack",1,Trade Cloth,Prentice-Hall,9780136859901,1975,,,503,,ENG,
4801,Political Science,"Eulau, Heinz March, James G.",2,Trade Cloth,Prentice-Hall,9780136862208,1969,,,"ix, 148",,ENG,
4802,Powerhouse Hands : How to Recognize and Get the Most from Your Big Cards,"Dormer, Albert",1,Trade Cloth,Prentice-Hall,9780136866671,1975,,,"vii, 223",,ENG,
4803,Poor Man's Road to Riches,"Newcomb, Duane G.",1,Trade Cloth,Prentice Hall PTR,9780136867173,1976,0,,,,ENG,
4804,Power of Perfect Liberty : Out of Japan - a Creative Breakthrough in Humanity's Quest for a New Man in a New Age,"Bach, Marcus",1,Trade Cloth,Prentice-Hall,9780136868323,1971,,,163,,ENG,
4805,Power Negotiating Tactics and Techniques,"Lewis, David V.",1,Paperback,Prentice Hall PTR,9780136877400,1984,4,,243,,ENG,
4806,Practice for Army Placement Tests,"Steinberg, Eve P.",1,Paperback,Peterson's,9780136894315,1989,5,,256,,ENG,
4807,Practical Review of German Grammar,,0,Trade Cloth,Prentice Hall PTR,9780136901082,1987,3,,,,ENG,
4808,Practical Psychiatry : How to Use It in Daily Living,"Rosenbaum, Jean",1,Trade Cloth,Prentice Hall PTR,9780136935803,1971,,,232,,ENG,
4809,Prentice-Hall Encyclopedia of Information Technology,"Edmunds, Robert A.",1,Trade Cloth,Prentice Hall PTR,9780136952145,1986,1,,640,,ENG,
4810,Prentice Hall TOEFL Prep Book,"Lougheed, Linford",1,Paperback,Prentice Hall PTR,9780136966005,1986,3,,448,,ENG,
4811,Prentice-Hall Complete Secretarial Letter Book,"DeVries, Mary A.",1,Paperback,Prentice Hall PTR,9780136966821,1983,3,,,,ENG,
4812,Preparing Your Business Budget with SYMPHONY,"Curtin, Dennis P. Osgood, William R.",2,Paperback,Prentice Hall PTR,9780136988045,1985,0,,160,,ENG,
4813,PH Global Employee Guide,"Powell, Jim",1,Paperback,Prentice Hall PTR,9780136990185,1985,5,,,,ENG,
4814,Viral Data in SOA : An Enterprise Pandemic,"Fishman, Neal Whitecar, Don",2,Paperback,Pearson Education,9780137001804,2009,7,06,288,,ENG,
4815,New World of Wireless : How to Compete in the 4G Revolution,"Snyder, Scott",1,Trade Cloth,Wharton School Publishing,9780137003792,2009,7,10,208,,ENG,
4816,Security Essentials,"Veach, Sharon Siwila, Jim Sun Microsystems Staff",3,Paperback,Prentice Hall PTR,9780137012336,2009,1,09,312,,ENG,
4817,C++ Fundamentals,"Deitel and Associates Staff Deitel, Paul J.",2,Paperback,Prentice Hall PTR,9780137018239,2010,2,22,1056,12,ENG,
4818,JavaScript Fundamentals,"Deitel and Associates Staff Deitel, Paul J.",2,Mixed Media,Prentice Hall PTR,9780137018253,2009,7,10,,12,ENG,
4819,Prentice Hall's Worker's Compensation Handbook,"Grenig, Jay E.",1,Paperback,Prentice Hall PTR,9780137039104,1989,,,512,,ENG,
4820,"Ethical, Legal, and Professional Issues in the Practice of Marriage and Family Therapy","Wilcoxon, Allen Remley, Theodore Gladding, Samuel T.",3,Paperback,Prentice Hall PTR,9780137051922,2011,2,23,432,,ENG,Revised
4821,Simple Dollar : How One Man Wiped Out His Debts and Achieved the Life of His Dreams,"Hamm, Trent",1,Paperback,FT Press,9780137054251,2010,6,09,272,,ENG,Revised
4822,Managerial Accounting and MyAccountingLab Student Access Code Card Package,"Braun Braun, Karen Tietz, Wendy M. Harrison, Walter T.",4,Paperback,Prentice Hall Higher Education,9780137068159,2009,1,18,,,ENG,
4823,Building Construction : Methods and Materials for the Fire Service,"Smith, Michael",1,Trade Cloth,Prentice Hall PTR,9780137083787,2011,7,25,256,,ENG,Revised
4824,Principles of Structural Geology,"Suppe, John",1,Trade Cloth,Prentice Hall PTR,9780137105007,1984,0,,560,,ENG,
4825,Printed Textiles : A Guide to Creative Design Fundamentals,"Gentille, Terry",1,Trade Cloth,Prentice-Hall,9780137106578,1982,1,,118,,ENG,
4826,From Concept to Consumer : How to Turn Ideas into Money,"Baker, Phil",1,Trade Cloth,FT Press,9780137137473,2008,0,22,192,,ENG,
4827,Fedora and Red Hat Enterprise Linux,"Sobell, Mark G.",1,"""Book, Other""",Prentice Hall PTR,9780137142958,2008,5,09,1184,,ENG,
4828,Precalculus,"Hirsch, Lewis Goodman, Arthur",2,Trade Cloth,Prentice Hall PTR,9780137164080,1994,1,,794,,ENG,
4829,Precalculus,"Blitzer, Robert F.",1,Trade Cloth,Prentice Hall PTR,9780137187430,1994,1,,,,ENG,
4830,Fluid Mechanics,Esposito,1,Paperback,Prentice Hall PTR,9780137194445,1997,1,,,,ENG,Student Edition of Textbook
4831,Professional English Marketing,"St. John, Maggie Jo",1,Paperback,Longman Publishing Group,9780137200467,1993,1,,112,,ENG,
4832,Prep For Clep : College-Level Examination Program,,0,Paperback,Peterson's,9780137204830,1993,3,,,,ENG,
4833,Principles of Object-Oriented Analysis and Design,"Odell, James J. Martin, James",2,Paperback,Prentice Hall PTR,9780137208715,1992,0,27,412,,ENG,
4834,Process Dynamics and Control,"Douglas, J. M.",1,Trade Cloth,Prentice-Hall,9780137230563,1972,,,"xii, 447",,ENG,
4835,Process in Clinical Nursing,"Redland, A. Leonard, B.",2,Paperback,Appleton & Lange,9780137232055,1981,2,,"xvi, 448",,ENG,
4836,Design of Machine Elements,"Shoup, Terry E. Spotts, M. F.",2,CD/Spoken Word,Prentice Hall PTR,9780137261673,1997,8,28,829,,ENG,
4837,Groupware : Collaborative Strategies for Corporate LANs and Intranets,"Coleman, David",1,Paperback,Prentice Hall PTR,9780137277285,1997,6,10,720,,ENG,
